Test (2A): initial election ...
2021/03/10 23:27:43 [INFO 0] now=20
2021/03/10 23:27:43 [INFO 1] now=20
2021/03/10 23:27:43 [INFO 2] now=20
2021/03/10 23:27:43 [INFO 0] now=40
2021/03/10 23:27:43 [INFO 1] now=40
2021/03/10 23:27:43 [INFO 2] now=40
2021/03/10 23:27:43 [INFO 0] now=60
2021/03/10 23:27:43 [INFO 1] now=60
2021/03/10 23:27:43 [INFO 2] now=60
2021/03/10 23:27:43 [INFO 1] now=80
2021/03/10 23:27:43 [INFO 0] now=80
2021/03/10 23:27:43 [INFO 2] now=80
2021/03/10 23:27:43 [INFO 1] now=100
2021/03/10 23:27:43 [INFO 0] now=100
2021/03/10 23:27:43 [INFO 2] now=100
2021/03/10 23:27:43 [INFO 1] now=120
2021/03/10 23:27:43 [INFO 0] now=120
2021/03/10 23:27:43 [INFO 2] now=120
2021/03/10 23:27:43 [INFO 1] now=140
2021/03/10 23:27:43 [INFO 2] now=140
2021/03/10 23:27:43 [INFO 0] now=140
2021/03/10 23:27:43 [INFO 1] now=160
2021/03/10 23:27:43 [INFO 2] now=160
2021/03/10 23:27:43 [INFO 0] now=160
2021/03/10 23:27:44 [INFO 1] now=180
2021/03/10 23:27:44 [INFO 2] now=180
2021/03/10 23:27:44 [INFO 0] now=180
2021/03/10 23:27:44 [INFO 1] now=200
2021/03/10 23:27:44 [INFO 2] now=200
2021/03/10 23:27:44 [INFO 0] now=200
2021/03/10 23:27:44 [INFO 1] now=220
2021/03/10 23:27:44 [INFO 0] now=220
2021/03/10 23:27:44 [INFO 2] now=220
2021/03/10 23:27:44 [INFO 0] now=240
2021/03/10 23:27:44 [INFO 1] now=240
2021/03/10 23:27:44 [INFO 2] now=240
2021/03/10 23:27:44 [INFO 0] now=260
2021/03/10 23:27:44 [INFO 1] now=260
2021/03/10 23:27:44 [INFO 2] now=260
2021/03/10 23:27:44 [INFO 1] now=280
2021/03/10 23:27:44 [INFO 2] now=280
2021/03/10 23:27:44 [INFO 0] now=280
2021/03/10 23:27:44 [INFO 1] now=300
2021/03/10 23:27:44 [INFO 2] now=300
2021/03/10 23:27:44 [INFO 0] now=300
2021/03/10 23:27:44 [INFO 1] now=320
2021/03/10 23:27:44 [INFO 0] now=320
2021/03/10 23:27:44 [INFO 2] now=320
2021/03/10 23:27:44 [INFO 0] now=340
2021/03/10 23:27:44 [INFO 2] now=340
2021/03/10 23:27:44 [INFO 1] now=340
2021/03/10 23:27:44 [INFO 0] now=360
2021/03/10 23:27:44 [INFO 2] now=360
2021/03/10 23:27:44 [INFO 1] now=360
2021/03/10 23:27:44 [INFO 0] now=380
2021/03/10 23:27:44 [INFO 2] now=380
2021/03/10 23:27:44 [INFO 1] now=380
2021/03/10 23:27:44 [INFO 0] now=400
2021/03/10 23:27:44 [INFO 1] now=400
2021/03/10 23:27:44 [INFO 2] now=400
2021/03/10 23:27:44 [INFO 0] now=420
2021/03/10 23:27:44 [INFO 1] now=420
2021/03/10 23:27:44 [INFO 2] now=420
2021/03/10 23:27:44 [INFO 2] now=440
2021/03/10 23:27:44 [INFO 1] now=440
2021/03/10 23:27:44 [INFO 0] now=440
2021/03/10 23:27:44 [INFO 2] now=460
2021/03/10 23:27:44 [INFO 0] now=460
2021/03/10 23:27:44 [INFO 1] now=460
2021/03/10 23:27:44 [INFO 2] now=480
2021/03/10 23:27:44 [INFO 1] now=480
2021/03/10 23:27:44 [INFO 0] now=480
2021/03/10 23:27:44 [INFO 2] now=500
